Codigo;Produto ;Tipo;Arg1;Arg2;Arg3;DataInicio;DataFinal;Setor
303208;Coleira Premium Aurora M;FIDELIDADE;33.99;27.19;;13/08/2026;09/09/2026;Coleiras
303203;Coleira Premium Terracota G;FIDELIDADE;41.99;33.59;;13/08/2026;09/09/2026;Coleiras
303339;Coleira Classic N.0;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
279794;Coleira .30 Preto N.5 ;FIDELIDADE;20.09;16.07;;13/08/2026;09/09/2026;Coleiras
303349;Coleira Bombom N.4;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
276748;Coleira Premium Classic Rosa - P;FIDELIDADE;29.89;23.91;;13/08/2026;09/09/2026;Coleiras
303348;Coleira Bombom N.2;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303209;Coleira Premium Aurora G;FIDELIDADE;41.99;33.59;;13/08/2026;09/09/2026;Coleiras
303198;Coleira Premium Aventura P;FIDELIDADE;29.99;23.99;;13/08/2026;09/09/2026;Coleiras
279851;Enforcador Corda Fina Vermelha 1,30mt;FIDELIDADE;19.89;15.91;;13/08/2026;09/09/2026;Coleiras
279854;Enforcador Corda Grossa Vermelha  1,50mt;FIDELIDADE;37.49;29.99;;13/08/2026;09/09/2026;Coleiras
279856;Enforcador Corda Grossa Preta  1,50mt;FIDELIDADE;37.49;29.99;;13/08/2026;09/09/2026;Coleiras
279853;Enforcador Corda Fina Preta  1,30mt;FIDELIDADE;19.89;15.91;;13/08/2026;09/09/2026;Coleiras
279678;Conj Guia Peit Comum Poa Vermelho  N.2;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279705;Conj Guia Peit Comum Poa Preto  N.1 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
303345;Guia 15mm Xadrez Chic;FIDELIDADE;14.99;11.99;;13/08/2026;09/09/2026;Coleiras
303213;Guia Preimum Terracota P;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
279823;Conj Guia Peit Americano Rosa G;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
279842;Guia Corda Fina C/ Amort Preta 80cm;FIDELIDADE;20.39;16.31;;13/08/2026;09/09/2026;Coleiras
303216;Guia Preimum Vibe P;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
303350;Guia 15mm Bombom;FIDELIDADE;14.99;11.99;;13/08/2026;09/09/2026;Coleiras
303214;Guia Preimum Terracota M;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279706;Conj Guia Peit Comum Poa Preto  N.2 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
303220;Guia Preimum Aurora M;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279820;Conj Guia Peit Americano Vermelho G;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
303243;Guia Corda Premium Tyffany 1,20mt;FIDELIDADE;55.99;44.79;;13/08/2026;09/09/2026;Coleiras
279693;Conj Guia Peit Comum Poa Azul  N.3 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
291511;Conj Guia Peit Americano Preto  M;FIDELIDADE;50.49;40.39;;13/08/2026;09/09/2026;Coleiras
303246;Guia Corda Premium Laranja 1,20mt;FIDELIDADE;55.99;44.79;;13/08/2026;09/09/2026;Coleiras
303346;Guia 15mm Classic;FIDELIDADE;14.99;11.99;;13/08/2026;09/09/2026;Coleiras
303211;Guia Preimum Aventura M;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
303210;Guia Preimum Aventura P;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
279833;Guia Corda C/ Amort Preta 60cm;FIDELIDADE;34.49;27.59;;13/08/2026;09/09/2026;Coleiras
303218;Guia Preimum Vibe G;FIDELIDADE;59.99;47.99;;13/08/2026;09/09/2026;Coleiras
303217;Guia Preimum Vibe M;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279822;Conj Guia Peit Americano Rosa M;FIDELIDADE;50.49;40.39;;13/08/2026;09/09/2026;Coleiras
303245;Guia Corda Premium Preta 1,20mt;FIDELIDADE;55.99;44.79;;13/08/2026;09/09/2026;Coleiras
279839;Guia Corda C/ Amort Vermelha 60cm;FIDELIDADE;34.49;27.59;;13/08/2026;09/09/2026;Coleiras
303219;Guia Preimum Aurora P;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
279844;Guia Corda Fina C/ Amort Preta 1,50mt;FIDELIDADE;24.59;19.67;;13/08/2026;09/09/2026;Coleiras
279840;Guia Corda C/ Amort Vermelha 1mt;FIDELIDADE;35.89;28.71;;13/08/2026;09/09/2026;Coleiras
303344;Guia 15mm Donuts Amarelo;FIDELIDADE;14.99;11.99;;13/08/2026;09/09/2026;Coleiras
279818;Conj Guia Peit Americano Vermelho P;FIDELIDADE;40.59;32.47;;13/08/2026;09/09/2026;Coleiras
279834;Guia Corda C/ Amort Preta 1mt;FIDELIDADE;35.89;28.71;;13/08/2026;09/09/2026;Coleiras
279819;Conj Guia Peit Americano Vermelho M;FIDELIDADE;50.49;40.39;;13/08/2026;09/09/2026;Coleiras
303244;Guia Corda Premium Salmo 1,20mt;FIDELIDADE;55.99;44.79;;13/08/2026;09/09/2026;Coleiras
303343;Guia 15mm Cactus;FIDELIDADE;14.99;11.99;;13/08/2026;09/09/2026;Coleiras
279825;Conj Guia Peit Americano Azul M;FIDELIDADE;50.49;40.39;;13/08/2026;09/09/2026;Coleiras
303342;Guia 15mm Triangulo;FIDELIDADE;14.99;11.99;;13/08/2026;09/09/2026;Coleiras
279843;Guia Corda Fina C/ Amort Preta 1,10mt;FIDELIDADE;21.49;17.19;;13/08/2026;09/09/2026;Coleiras
291512;Conj Guia Peit Americano Preto  G ;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
279677;Conj Guia Peit Comum Poa Vermelho  N.1 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279835;Guia Corda C/ Amort Preta 1,50mt;FIDELIDADE;46.99;37.59;;13/08/2026;09/09/2026;Coleiras
279841;Guia Corda C/ Amort Vermelha 1,50mt;FIDELIDADE;46.99;37.59;;13/08/2026;09/09/2026;Coleiras
279826;Conj Guia Peit Americano Azul G;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
303221;Guia Preimum Aurora G;FIDELIDADE;59.99;47.99;;13/08/2026;09/09/2026;Coleiras
303247;Guia Corda Premium Lilas 1,20mt;FIDELIDADE;55.99;44.79;;13/08/2026;09/09/2026;Coleiras
279692;Conj Guia Peit Comum Poa Azul  N.2;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279708;Conj Guia Peit Comum Poa Preto  N.4 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
291510;Conj Guia Peit Americano Preto  P ;FIDELIDADE;40.59;32.47;;13/08/2026;09/09/2026;Coleiras
279679;Conj Guia Peit Comum Poa Vermelho  N.3 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279680;Conj Guia Peit Comum Poa Vermelho  N.4 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279691;Conj Guia Peit Comum Poa Azul  N.1 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279707;Conj Guia Peit Comum Poa Preto  N.3 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279694;Conj Guia Peit Comum Poa Azul  N.4 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
279824;Conj Guia Peit Americano Azul P;FIDELIDADE;40.59;32.47;;13/08/2026;09/09/2026;Coleiras
303212;Guia Preimum Aventura G;FIDELIDADE;59.99;47.99;;13/08/2026;09/09/2026;Coleiras
303215;Guia Preimum Terracota G;FIDELIDADE;59.99;47.99;;13/08/2026;09/09/2026;Coleiras
279821;Conj Guia Peit Americano Rosa P;FIDELIDADE;40.59;32.47;;13/08/2026;09/09/2026;Coleiras
279793;Peitoal  Comum .30 Preto N.7 ;FIDELIDADE;44.09;35.27;;13/08/2026;09/09/2026;Coleiras
303241;Peitoral Fresh Premium Aurora M;FIDELIDADE;64.99;51.99;;13/08/2026;09/09/2026;Coleiras
303280;Conj Guia Peit Comum Candy Azul N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303234;Peitoral Fresh Premium Terracota P;FIDELIDADE;54.99;43.99;;13/08/2026;09/09/2026;Coleiras
303269;Conj Guia Peit Comum Candy Lilas N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303264;Conj Guia Peit Ajustavel Neon Laranja N.2;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303279;Conj Guia Peit Comum Candy Laranja N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303325;Conj Guia Peitoral Comum Bombom N.6;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
